;Time;Fy;Model_strength
0;0,0;12,1;15,66083617190121
1;20,0;12,03;16,9232538461914
2;21,0;19,99;16,98637472990591
3;22,0;18,87;17,04949561362042
4;23,0;19,11;17,11261649733493
5;24,0;18,94;17,17573738104944
6;25,0;18,47;17,238858264763948
7;26,0;19,11;17,30197914847846
8;27,0;19,58;17,365100032192966
9;28,0;18,52;17,428220915907477
10;29,0;18,83;17,49134179962199
11;30,0;18,52;17,554462683336496
12;31,0;19,66;17,617583567051007
13;32,0;19,52;17,680704450765518
14;33,0;19,02;17,743825334480025
15;34,0;19,05;17,806946218194536
16;35,0;19,81;17,870067101909044
17;36,0;18,69;17,933187985623555
18;37,0;19,71;17,996308869338066
19;38,0;19,47;18,059429753052573
20;39,0;19,93;18,122550636767084
21;40,0;19,61;18,18567152048159
22;41,0;19,61;18,248792404196102
23;42,0;19,67;18,311913287910613
24;43,0;19,93;18,37503417162512
25;44,0;19,46;18,43815505533963
26;45,0;19,36;18,50127593905414
27;46,0;19,21;18,56439682276865
28;47,0;19,64;18,62751770648316
29;48,0;20,21;18,69063859019767
30;49,0;20,27;18,75375947391218
31;50,0;20,14;18,816880357626687
32;51,0;19,76;18,880001241341198
33;52,0;19,73;18,94312212505571
34;53,0;19,46;19,006243008770216
35;54,0;20,51;19,069363892484727
36;55,0;20,52;19,132484776199234
37;56,0;19,87;19,195605659913745
38;57,0;20,36;19,258726543628256
39;58,0;20,49;19,321847427342764
40;59,0;20,53;19,384968311057275
41;60,0;20,05;19,448089194771782
42;61,0;21,19;19,511210078486293
43;62,0;20,35;19,574330962200804
44;63,0;20,65;19,63745184591531
45;64,0;20,59;19,700572729629823
46;65,0;21,56;19,76369361334433
47;66,0;21,44;19,82681449705884
48;67,0;19,98;19,889935380773352
49;68,0;20,38;19,953056264487863
50;69,0;20,99;20,01617714820237
51;70,0;20,61;20,07929803191688
52;71,0;20,84;20,14241891563139
53;72,0;20,6;20,2055397993459
54;73,0;21,53;20,26866068306041
55;74,0;21,06;20,331781566774918
56;75,0;20,65;20,39490245048943
57;76,0;20,94;20,458023334203936
58;77,0;21,88;20,521144217918447
59;78,0;21,35;20,58426510163296
60;79,0;20,85;20,647385985347466
61;80,0;21,27;20,710506869061977
62;81,0;21,41;20,773627752776484
63;82,0;20,65;20,836748636490995
64;83,0;20,29;20,899869520205506
65;84,0;20,45;20,962990403920013
66;85,0;20,01;21,026111287634524
67;86,0;19,03;21,089232171349032
68;87,0;17,46;21,152353055063543
69;88,0;14,25;21,215473938778054
70;89,0;12,52;21,27859482249256
71;93,0;21,17;21,5310783573506
72;94,0;23,0;21,59419924106511
73;95,0;24,39;21,65732012477962
74;96,0;23,28;21,720441008494127
75;97,0;23,11;21,78356189220864
76;98,0;22,82;21,84668277592315
77;99,0;22,64;21,909803659637657
78;100,0;22,57;21,972924543352168
79;101,0;22,63;22,036045427066675
80;102,0;22,62;22,099166310781186
81;103,0;22,85;22,162287194495697
