;Time;Fy;Model_strength
0;0,0;16,67;13,769206266184552
1;1,0;12,03;13,799519575669976
2;8,0;16,94;14,01171274206794
3;9,0;17,54;14,042026051553364
4;10,0;17,42;14,072339361038788
5;11,0;17,98;14,102652670524211
6;12,0;19,0;14,132965980009635
7;13,0;16,86;14,163279289495058
8;14,0;17,11;14,193592598980482
9;15,0;18,12;14,223905908465905
10;16,0;19,57;14,254219217951329
11;17,0;17,28;14,284532527436753
12;18,0;16,4;14,314845836922176
13;19,0;18,47;14,3451591464076
14;20,0;18,01;14,375472455893023
15;21,0;17,82;14,405785765378447
16;22,0;16,71;14,43609907486387
17;23,0;16,28;14,466412384349294
18;24,0;17,71;14,496725693834717
19;25,0;17,81;14,52703900332014
20;26,0;16,6;14,557352312805564
21;27,0;17,09;14,587665622290988
22;28,0;16,72;14,617978931776411
23;29,0;17,46;14,648292241261835
24;30,0;17,15;14,678605550747259
25;31,0;16,5;14,708918860232682
26;32,0;17,91;14,739232169718106
27;33,0;17,7;14,76954547920353
28;34,0;17,84;14,799858788688953
29;35,0;17,11;14,830172098174376
30;36,0;17,15;14,8604854076598
31;37,0;16,29;14,890798717145223
32;38,0;16,99;14,921112026630647
33;39,0;15,03;14,95142533611607
34;40,0;13,89;14,981738645601494
35;41,0;15,1;15,012051955086918
36;42,0;14,18;15,042365264572341
37;43,0;13,9;15,072678574057765
38;44,0;13,56;15,102991883543188
39;45,0;14,65;15,133305193028612
40;46,0;13,5;15,163618502514035
41;47,0;14,31;15,193931811999459
42;48,0;13,81;15,224245121484882
43;49,0;14,56;15,254558430970306
44;50,0;14,75;15,28487174045573
45;51,0;14,18;15,315185049941153
46;52,0;14,64;15,345498359426577
47;53,0;14,82;15,375811668912
48;54,0;15,17;15,406124978397424
49;55,0;14,99;15,436438287882847
50;56,0;14,84;15,46675159736827
51;57,0;14,59;15,497064906853694
52;58,0;14,83;15,527378216339118
53;59,0;14,98;15,557691525824541
54;60,0;14,38;15,588004835309965
55;61,0;14,47;15,618318144795388
56;62,0;15,03;15,648631454280812
57;63,0;15,79;15,678944763766236
58;64,0;15,04;15,70925807325166
59;65,0;15,14;15,739571382737083
60;66,0;15,51;15,769884692222506
61;67,0;14,4;15,80019800170793
62;68,0;15,21;15,830511311193353
63;69,0;15,24;15,860824620678777
64;70,0;14,94;15,8911379301642
65;71,0;14,26;15,921451239649624
66;72,0;14,8;15,951764549135047
67;73,0;15,22;15,982077858620471
68;74,0;15,74;16,012391168105896
69;75,0;15,88;16,042704477591318
70;76,0;15,02;16,073017787076743
71;77,0;15,12;16,103331096562165
72;78,0;15,26;16,13364440604759
73;79,0;18,14;16,163957715533012
74;80,0;18,3;16,194271025018438
75;81,0;17,53;16,22458433450386
76;82,0;17,28;16,254897643989285
77;83,0;17,74;16,285210953474706
78;84,0;15,76;16,315524262960132
79;85,0;16,4;16,345837572445554
80;86,0;16,79;16,37615088193098
81;87,0;16,49;16,4064641914164
82;88,0;16,11;16,436777500901826
83;89,0;17,63;16,467090810387248
84;90,0;16,9;16,497404119872673
85;91,0;16,96;16,527717429358095
86;92,0;16,8;16,55803073884352
87;93,0;16,6;16,588344048328942
88;94,0;17,4;16,618657357814367
89;95,0;16,09;16,64897066729979
90;96,0;17,29;16,679283976785214
91;97,0;16,09;16,709597286270636
92;98,0;16,66;16,73991059575606
93;99,0;16,5;16,770223905241483
94;100,0;16,54;16,80053721472691
95;101,0;16,22;16,83085052421233
96;102,0;16,47;16,861163833697756
97;103,0;16,53;16,891477143183177
98;104,0;16,6;16,921790452668603
99;105,0;16,21;16,952103762154024
100;106,0;16,28;16,98241707163945
101;107,0;16,39;17,01273038112487
102;108,0;16,81;17,043043690610297
103;109,0;16,75;17,07335700009572
104;110,0;16,43;17,103670309581144
105;111,0;16,01;17,133983619066566
106;112,0;17,12;17,16429692855199
107;113,0;16,92;17,194610238037413
108;114,0;16,3;17,224923547522838
109;115,0;16,57;17,25523685700826
110;116,0;17,2;17,285550166493685
111;117,0;16,5;17,315863475979107
112;118,0;17,14;17,346176785464532
113;119,0;16,39;17,376490094949954
114;120,0;15,93;17,40680340443538
115;121,0;16,35;17,4371167139208
116;122,0;17,36;17,467430023406227
117;123,0;16,03;17,49774333289165
118;124,0;17,07;17,528056642377074
119;125,0;16,87;17,558369951862495
120;126,0;16,96;17,58868326134792
121;127,0;16,94;17,618996570833342
122;128,0;16,51;17,649309880318768
123;129,0;17,49;17,67962318980419
124;130,0;17,48;17,709936499289615
125;131,0;16,99;17,740249808775037
126;132,0;16,71;17,770563118260462
127;133,0;16,57;17,800876427745884
128;134,0;17,52;17,83118973723131
129;135,0;17,28;17,86150304671673
130;136,0;16,89;17,891816356202156
131;137,0;16,86;17,922129665687578
132;138,0;16,17;17,952442975173003
133;139,0;17,46;17,982756284658425
134;140,0;17,52;18,01306959414385
135;141,0;16,37;18,043382903629272
136;142,0;17,29;18,073696213114697
137;143,0;17,05;18,10400952260012
138;144,0;17,16;18,134322832085545
139;145,0;16,84;18,164636141570966
140;146,0;17,63;18,19494945105639
141;147,0;17,48;18,225262760541813
142;148,0;16,82;18,25557607002724
143;149,0;17,39;18,28588937951266
144;150,0;17,35;18,316202688998086
145;151,0;17,32;18,346515998483508
146;152,0;18,27;18,376829307968933
147;153,0;18,24;18,407142617454355
148;154,0;19,67;18,43745592693978
149;155,0;18,29;18,4677692364252
150;156,0;18,03;18,498082545910627
151;157,0;18,08;18,52839585539605
152;158,0;17,16;18,558709164881474
153;159,0;17,4;18,589022474366896
154;160,0;17,55;18,61933578385232
155;161,0;17,89;18,649649093337743
156;162,0;17,53;18,67996240282317
157;163,0;17,75;18,71027571230859
158;164,0;17,71;18,740589021794015
159;165,0;17,99;18,770902331279437
160;166,0;19,02;18,801215640764863
161;167,0;17,93;18,831528950250284
162;168,0;17,37;18,86184225973571
163;169,0;16,64;18,89215556922113
164;170,0;17,81;18,922468878706557
165;171,0;17,99;18,95278218819198
166;172,0;18,35;18,983095497677404
167;173,0;17,46;19,013408807162826
168;174,0;17,55;19,04372211664825
169;175,0;17,72;19,074035426133673
170;176,0;17,63;19,104348735619098
171;177,0;17,82;19,13466204510452
172;178,0;17,13;19,164975354589945
173;179,0;18,24;19,195288664075367
174;180,0;17,68;19,225601973560792
175;181,0;18,53;19,255915283046214
176;182,0;16,81;19,28622859253164
177;183,0;17,54;19,31654190201706
178;184,0;16,66;19,346855211502486
179;185,0;18,53;19,377168520987908
180;186,0;17,83;19,407481830473333
181;187,0;16,66;19,437795139958755
182;188,0;17,27;19,46810844944418
183;189,0;17,46;19,498421758929602
184;190,0;17,07;19,528735068415028
185;191,0;18,25;19,55904837790045
186;192,0;17,28;19,589361687385875
187;193,0;16,7;19,619674996871296
188;194,0;17,15;19,649988306356722
189;195,0;17,75;19,680301615842144
190;196,0;17,71;19,71061492532757
191;197,0;17,98;19,74092823481299
192;198,0;17,31;19,771241544298416
193;199,0;18,34;19,801554853783838
194;200,0;17,61;19,831868163269263
195;201,0;17,14;19,862181472754685
196;202,0;17,32;19,89249478224011
197;203,0;18,18;19,922808091725532
198;204,0;18,39;19,953121401210957
199;205,0;17,0;19,98343471069638
200;206,0;17,35;20,013748020181804
201;207,0;17,53;20,044061329667226
202;208,0;18,19;20,07437463915265
203;209,0;17,87;20,104687948638073
204;210,0;17,0;20,1350012581235
205;211,0;17,67;20,16531456760892
206;212,0;17,44;20,195627877094346
207;213,0;18,23;20,225941186579767
208;214,0;19,07;20,256254496065193
209;215,0;18,5;20,286567805550614
210;216,0;17,73;20,31688111503604
211;217,0;17,81;20,34719442452146
212;218,0;18,66;20,377507734006887
213;219,0;17,9;20,40782104349231
214;220,0;17,77;20,438134352977734
215;221,0;17,77;20,468447662463156
216;222,0;17,29;20,49876097194858
217;223,0;17,23;20,529074281434003
218;224,0;19,92;20,559387590919428
219;225,0;17,27;20,58970090040485
220;227,0;20,0;20,650327519375697
221;228,0;20,93;20,680640828861122
222;229,0;21,95;20,710954138346544
223;230,0;22,23;20,74126744783197
224;231,0;21,54;20,77158075731739
