;Time;Fy;Model_strength
0;0,0;12,28;27,138823279803947
1;1,0;17,63;27,370170449393854
2;2,0;20,83;27,601517618983763
3;3,0;23,62;27,83286478857367
4;4,0;24,36;28,06421195816358
5;5,0;24,07;28,295559127753485
6;6,0;23,41;28,526906297343395
7;7,0;23,15;28,7582534669333
8;8,0;24,55;28,98960063652321
9;9,0;23,96;29,220947806113116
10;10,0;24,47;29,452294975703026
11;11,0;24,69;29,683642145292932
12;12,0;25,01;29,91498931488284
13;13,0;25,95;30,146336484472748
14;14,0;26,22;30,377683654062654
15;15,0;27,23;30,609030823652564
16;16,0;26,74;30,84037799324247
17;17,0;26,89;31,07172516283238
18;18,0;28,81;31,303072332422285
19;19,0;28,86;31,53441950201219
20;20,0;28,45;31,7657666716021
21;21,0;28,34;31,99711384119201
22;22,0;30,08;32,22846101078191
23;23,0;30,6;32,45980818037182
24;24,0;31,27;32,69115534996173
25;25,0;30,14;32,92250251955164
26;26,0;33,59;33,153849689141545
27;27,0;33,13;33,385196858731454
28;28,0;33,9;33,616544028321364
29;29,0;33,86;33,847891197911274
30;30,0;35,04;34,079238367501176
31;31,0;36,19;34,310585537091086
32;32,0;34,62;34,541932706680996
33;33,0;35,32;34,773279876270905
34;34,0;37,09;35,00462704586081
35;35,0;38,65;35,23597421545072
36;36,0;35,79;35,46732138504063
37;37,0;36,69;35,69866855463053
38;38,0;38,89;35,93001572422044
39;39,0;41,09;36,16136289381035
40;40,0;37,64;36,39271006340026
41;41,0;38,91;36,62405723299016
42;42,0;39,07;36,85540440258007
43;43,0;41,65;37,08675157216998
44;44,0;39,39;37,31809874175988
45;45,0;39,01;37,54944591134979
46;46,0;40,78;37,7807930809397
47;47,0;43,4;38,01214025052961
48;48,0;41,2;38,24348742011952
49;49,0;44,31;38,474834589709424
50;50,0;44,93;38,706181759299334
51;51,0;47,87;38,937528928889236
52;52,0;44,71;39,168876098479146
53;53,0;45,96;39,400223268069055
54;54,0;46,38;39,631570437658965
55;55,0;48,71;39,862917607248875
56;56,0;46,27;40,09426477683878
57;57,0;47,23;40,32561194642869
58;58,0;47,37;40,5569591160186
59;59,0;49,29;40,7883062856085
60;60,0;47,55;41,01965345519841
61;61,0;48,8;41,25100062478832
62;62,0;49,57;41,48234779437823
63;63,0;51,4;41,71369496396813
64;64,0;49,37;41,94504213355804
65;65,0;49,02;42,17638930314795
66;66,0;49,55;42,40773647273785
67;67,0;50,03;42,63908364232776
68;68,0;49,54;42,87043081191767
69;69,0;49,47;43,10177798150758
70;70,0;50,49;43,33312515109749
71;71,0;47,98;43,56447232068739
72;72,0;48,51;43,7958194902773
73;73,0;49,16;44,027166659867206
74;74,0;50,29;44,258513829457115
75;75,0;49,68;44,489860999047025
76;76,0;48,46;44,721208168636934
77;77,0;49,25;44,952555338226844
78;78,0;50,12;45,18390250781675
79;79,0;47,6;45,415249677406656
80;80,0;40,6;45,64659684699656
81;81,0;33,75;45,87794401658647
82;82,0;26,65;46,10929118617638
83;83,0;22,58;46,34063835576629
84;84,0;16,74;46,5719855253562
85;85,0;21,05;46,80333269494611
86;86,0;35,38;47,03467986453601
87;87,0;38,85;47,26602703412591
88;88,0;43,27;47,49737420371582
89;89,0;46,6;47,72872137330573
90;90,0;49,99;47,96006854289564
91;91,0;48,45;48,19141571248555
92;92,0;50,45;48,42276288207546
93;93,0;53,8;48,65411005166536
94;94,0;51,23;48,88545722125527
95;95,0;51,35;49,116804390845175
96;96,0;53,39;49,348151560435085
97;97,0;51,55;49,579498730024994
98;98,0;51,07;49,810845899614904
99;99,0;52,67;50,042193069204814
100;100,0;52,05;50,273540238794716
101;101,0;51,76;50,504887408384626
102;102,0;52,46;50,73623457797453
103;103,0;51,51;50,96758174756444
104;104,0;52,48;51,19892891715435
105;105,0;53,11;51,43027608674426
106;106,0;53,19;51,66162325633417
107;107,0;52,53;51,89297042592407
108;108,0;53,55;52,12431759551398
109;109,0;53,28;52,35566476510388
110;110,0;53,01;52,58701193469379
111;111,0;54,02;52,8183591042837
112;112,0;54,0;53,04970627387361
113;113,0;54,21;53,28105344346352
114;114,0;54,13;53,51240061305343
115;115,0;54,26;53,74374778264333
116;116,0;54,12;53,97509495223324
117;117,0;54,71;54,206442121823144
118;118,0;55,05;54,437789291413054
119;119,0;55,2;54,669136461002964
120;120,0;55,51;54,90048363059287
121;121,0;55,57;55,13183080018278
122;122,0;56,43;55,363177969772686
123;123,0;55,39;55,594525139362595
124;124,0;56,36;55,8258723089525
125;125,0;57,56;56,05721947854241
126;126,0;56,48;56,28856664813232
127;127,0;57,03;56,51991381772223
128;128,0;58,45;56,751260987312136
129;129,0;56,5;56,98260815690204
130;130,0;57,65;57,21395532649195
131;131,0;58,59;57,44530249608185
132;132,0;56,58;57,67664966567176
133;133,0;58,4;57,90799683526167
134;134,0;59,18;58,13934400485158
135;135,0;57,19;58,37069117444149
136;136,0;58,31;58,6020383440314
137;137,0;59,64;58,8333855136213
138;138,0;57,71;59,06473268321121
139;139,0;59,39;59,296079852801114
140;140,0;60,82;59,527427022391024
141;141,0;58,5;59,75877419198093
142;142,0;59,83;59,99012136157084
143;143,0;60,59;60,22146853116075
144;144,0;58,4;60,45281570075066
145;145,0;59,18;60,68416287034056
146;146,0;59,99;60,91551003993047
147;147,0;58,07;61,14685720952038
148;148,0;59,41;61,37820437911029
149;149,0;60,14;61,609551548700196
150;150,0;58,34;61,840898718290106
151;151,0;59,83;62,072245887880015
152;152,0;60,22;62,30359305746991
153;153,0;58,37;62,53494022705982
154;154,0;59,33;62,76628739664973
155;155,0;59,88;62,99763456623964
156;156,0;58,92;63,22898173582955
157;157,0;59,45;63,46032890541946
